Subject,Type,Title,ID_or_Link,Platform
ENT,video,34 HEARING REHABILITATION,https://youtu.be/68HYlO5XJNM,
ENT,video,35 CLINICAL ANATOMY OF EXTERNAL NOSE AND CHOANAL ATRESIA,https://youtu.be/gS570gfwxIA,
ENT,video,36 LATERAL WALL OF NOSE,https://youtu.be/z8xrf7OeUFw,
ENT,video,37 CLINICAL ANATOMY AND DISEASE OF SEPTUM,https://youtu.be/GhK5hHLzHns,
ENT,video,38 NERVE SUPPLY NOSE PART 1,https://youtu.be/Qqp0oL2WW_4,
ENT,video,39 NERVE SUPPLY OF NOSE PART 2,https://youtu.be/8hnEyCVh_2E,
ENT,video,40 ARTERIAL SUPPLY OF NOSE AND EPISTAXIS,https://youtu.be/6L-bTsgtUTk,
ENT,video,41 ANATOMY OF PNS AND RHINOSINUSITIS,https://youtu.be/vknqoIBB1Vs,
ENT,video,42 COMPLICATION OF SINUSITIS,https://youtu.be/M52mCB--Ci0,
ENT,video,43 NASAL POLYPS,https://youtu.be/B508Fc__VGE,
ENT,video,44 FUNGAL SINUSITIS,https://youtu.be/nNvG1xPKJfI,
ENT,video,45 ATROPHIC RHINITIS AND GRANULOMATOUS CONDITION OF NOSE,https://youtu.be/WCS7aXFnA40,
ENT,video,46 FRACTURE OF NOSE AND CSF RHINORRHOEA,https://youtu.be/myVexCR8iG0,
ENT,video,47 TUMOR OF NOSE AND PNS,https://youtu.be/mqpkhSvEmMU,
ENT,video,48 CLINICAL ANATOMY OF PHARYNX,https://youtu.be/7L61gr2zlZY,
ENT,video,49 ANATOMY OF PHARYNX PART 2,https://youtu.be/CNCCGIsxzPo,
ENT,video,50 ANATOMY OF PHARYNX PART 3,https://youtu.be/xc-HjU2MtXQ,
ENT,video,51 ANTOMY OF PHARYNX PART 4,https://youtu.be/ahh2Cxr1eFQ,
ENT,video,52 ADENOID HYPERTROPHY,https://youtu.be/K635YT-QJlU,
ENT,video,53 ANGIOFIBROMA,https://youtu.be/gSbU7qRPxG8,
ENT,video,54 NASOPHARYNGEAL CARCINOMA,https://youtu.be/L15554KsScs,
ENT,video,55 CONDITION OF TONSILL AND TONSILLECTOMY PART 1,https://youtu.be/TwnAt-MFeYo,
ENT,video,56 CONDITION OF TONSIL AND TONSILLECTOMY PART 2,https://youtu.be/ZoYKy5o6WB0,
ENT,video,57 ANATOMY OF LARYNX PART 1,https://youtu.be/eK4npvo9_hM,
ENT,video,58 CLINICAL ANATOMY OF LARYNX PART 2,https://youtu.be/ParVkMdGPIw,
ENT,video,59 INFECTION OF LARYNX,https://youtu.be/wSrGV6VYFxU,
ENT,video,60 CONGENITAL CONDITION OF LARYNX,https://youtu.be/3X1kaWYP0Fo,
ENT,video,61 VOICE DISORDER,https://youtu.be/Ll7zN0OaqIU,
ENT,video,62 NERVE SUPPLY OF LARYNX AND VOCAL CORD PALSY,https://youtu.be/cQGiWnMC4T0,
ENT,video,63 CARCINOMA LARYNX,https://youtu.be/B8u5yEpGARE,
ENT,video,64 TRACHEOSTOMY OF FORIGN BODY,https://youtu.be/6VvB8ILTspQ,
,,,,
Anaesthesia,qbank,Anaesthesia ed8,https://drive.google.com/file/d/1LT9teuJhQ0NHMFQiJd9UYFkOssoCYYdI/view?usp=drivesdk,Marrow
Pathology,qbank,Pathology ed8,https://drive.google.com/file/d/11rJ6l_DH_Cc0dqCZKh2m02wzh-WMLskN/view?usp=drivesdk,Marrow
Physiology,qbank,Physiology ed8,https://drive.google.com/file/d/1QG0SEMGS3hgN-1D1YN3hGw4w1wp1VwTG/view?usp=drivesdk,Marrow
Radiology,qbank,Radiology ed8,https://drive.google.com/file/d/1NsfqkpprGZJrRixlbpUulmIUM3d03-wU/view?usp=drivesdk,Marrow
Surgery,qbank,Surgery ed8,https://drive.google.com/file/d/1qBzh-tSKLuXchGEOiHptuWC_TIsY6DvN/view?usp=drivesdk,Marrow
PSM,qbank,PSM ed8,https://drive.google.com/file/d/17LVnaGZ3T8gr0PPb5WOVJaIfiFJE28lS/view?usp=drivesdk,Marrow
Psychiatry,qbank,Psychiatry ed8,https://drive.google.com/file/d/1sEVro7MLw-OjKcVKgvgMVcfpX09v_R3F/view?usp=drivesdk,Marrow
Pediatrics,qbank,Pediatrics ed8,https://drive.google.com/file/d/1DWvl0z80ffvdLg6dke-ZcZhwnJ3XeqJd/view?usp=drivesdk,Marrow
Orthopedics,qbank,Orthopaedics ed8,https://drive.google.com/file/d/11oNrSNHK0hdhqUhLrYdVBQbPUfiO8JVb/view?usp=drivesdk,Marrow
Pharmacology,qbank,Pharmacology ed8,https://drive.google.com/file/d/10QtoAfOdtjBdKSL4gt0u1vzFpx2nO9Qn/view?usp=drivesdk,Marrow
Ophthalmology,qbank,Ophthalmology ed8,https://drive.google.com/file/d/1iwb2fHEI1BX6Y0a1-bScixDXyFLz7c6q/view?usp=drivesdk,Marrow
Obstetrics and gynaecology,qbank,OBGYN ed8,https://drive.google.com/file/d/1hFYv_Vuz_lDV2ENFPkbFik2NuXFEm_El/view?usp=drivesdk,Marrow
Medicine,qbank,Medicine ed8,https://drive.google.com/file/d/1MCUjIMU5JmOPw2xvgnbFlx6QlvUpagt5/view?usp=drivesdk,Marrow
Microbiology,qbank,Microbiology ed8,https://drive.google.com/file/d/1tMUBl3S0-lpvG0uu4raL23c1mbaVyYYq/view?usp=drivesdk,Marrow
FMT,qbank,Forensic Medicine ed8,https://drive.google.com/file/d/1jlcFL5vehU4p-KiKpwcppm5nbjh-Pz1h/view?usp=drivesdk,Marrow
Anatomy,qbank,Anatomy ed8,https://drive.google.com/file/d/1EzQ8rr0PO7IASoG4RjYG3CvMB9CVEHNe/view?usp=drivesdk,Marrow
Dermatology,qbank,Dermatology ed8,https://drive.google.com/file/d/1diQP5EiiSfbZruTmJrYN0fVRmGaOvCoJ/view?usp=drivesdk,Marrow
Biochemistry,qbank,Biochemistry ed8,https://drive.google.com/file/d/1zCELMA3yaqyuVkx1O15vge6PvvGe2EGz/view?usp=drivesdk,Marrow
ENT,qbank,ENT ed8,https://drive.google.com/file/d/1R1wNqoz4-CjJywICxnSRVNETllJueP9r/view?usp=drivesdk,Marrow
,,,,
,,,,
,,,✅ Folder Imported,
Pharmacology,notes,KD Tripathi Essential of Medical Pharmacology 8thEd,https://drive.google.com/file/d/1YCbsDvHEIkA_1VYH2nTqK6EuR_nynNX8/view?usp=drivesdk,
,,,,
,,,,
,,,,
,,,✅ Import Complete,
microbiology,notes,Essentials_of_Microbiology_Apurba_Sastry_3rd_Edition@medflix_2,https://drive.google.com/file/d/14VKRu-tcD6gK3t9R2dyNbSnNsBtaB7qy/view?usp=drivesdk,
pathology,notes,HarshMohan Practical Pathology,https://drive.google.com/file/d/1ZVLEQE_wa75THH8Ze_F4HJ79fTyIRNKZ/view?usp=drivesdk,
pharmacology,notes,pharma 2,https://drive.google.com/file/d/1BhWET_tUggFi5F9teR0a7vctNYG6nV5r/view?usp=drivesdk,
pharmacology,notes,K_D_Tripathi_Pharmacological_Classification_of_Drugs_with_Doses,https://drive.google.com/file/d/1x5XFtHLunmnkYF0QdL2FbazuzX_ZKBs-/view?usp=drivesdk,
pharmacology,notes,Pharmacological_CLASSIFICATION_OF_DRUGS_with_Doses_and_PreparationsKDT,https://drive.google.com/file/d/1GidK7yCr55576E6Fpg5HQGO5rFXiKj3C/view?usp=drivesdk,
pharmacology,notes,pharma 1,https://drive.google.com/file/d/1447TYF7EaZNus0XKZIKR7Hh30eRctU34/view?usp=drivesdk,
microbiology,notes,micro 2,https://drive.google.com/file/d/1gtk68nWfcNlKQzk4tEKpoD03Y1RmBhY7/view?usp=drivesdk,
microbiology,notes,Microbiology_Apurba_Sastry_3rd_Edition@MBBS_Books_Library_India,https://drive.google.com/file/d/1uQzQpYbD0oFNVGkW5caX2eVn3nFZTCoA/view?usp=drivesdk,
microbiology,notes,Apurba Sankar Sastry Essentials of Medical Parasitology,https://drive.google.com/file/d/1rjVLZaUtfco0aYcvWlX_Y_KZ3k4nKmp7/view?usp=drivesdk,
microbiology,notes,Essentials of Medical Microbiology - Apurba Sastry (2Ed),https://drive.google.com/file/d/1sjYtEDLunlRvc4kxjleoI5JChOLU621u/view?usp=drivesdk,
microbiology,notes,Apurba S Sastry Review of Microbiology and Immunology,https://drive.google.com/file/d/1gH-LcpSwxCoCb-azIhqDd3WoVy9A0WlX/view?usp=drivesdk,
microbiology,notes,micro 1 paper,https://drive.google.com/file/d/1EXEB_DW-s7Bmcx8AAivG690GYQ5as4j_/view?usp=drivesdk,
pathology,notes,Priyanka Pathology prof buster 2,https://drive.google.com/file/d/1BYH0RXdO9B2gMoMz3vfJxwv8azno8i1v/view?usp=drivesdk,
pathology,notes,Priyanka Pathology prof buster 1 (1),https://drive.google.com/file/d/1vZjuI-yCo2tTFHtp1KTbPK09Tngzo3Gf/view?usp=drivesdk,
pathology,notes,Pathology  Masterchart​ (2),https://drive.google.com/file/d/1FyzGBzzZwSZsbffq5wDcfrot1vD-3Q1x/view?usp=drivesdk,
pathology,notes,Pathology Images (all in one Merged),https://drive.google.com/file/d/1VBKmhgJHyJAhXtp9Ftug4spvmg1k2HAq/view?usp=drivesdk,
pathology,notes,USMLE Step 1 Lecture Notes Pathology (2019),https://drive.google.com/file/d/1opZ3bia-4Uc58h85sRRrez93mCdmfp-J/view?usp=drivesdk,
pathology,notes,Concise Pathology For Exam Preparation 3rd Edition (2016),https://drive.google.com/file/d/1ObEQuGrPQM1XusRq92yZKzGPLeWv2uJo/view?usp=drivesdk,
pathology,notes,PATHOLOGY_Competency_Based_Questions_and_Answers_Sushruta_Academy,https://drive.google.com/file/d/1avEkB55UovfzwOnmggVAU5_w5Rhfnnex/view?usp=drivesdk,
microbiology,notes,MICROBIOLOGY_Competency_Based_Questions_and_Answers_Sushruta_Academy,https://drive.google.com/file/d/187HwgPZVLAU7fUblAFHuW5g4JXZ_3jHF/view?usp=drivesdk,
pathology,notes,RAMADAS_NAYAK_Exam_Preparatory_Manual_For_Undergraduates_Pathology,https://drive.google.com/file/d/1LzC9nd2jQSySGGQleTlKyWOxb9am54xG/view?usp=drivesdk,
Other,notes,Bhalani II,https://drive.google.com/file/d/1BnMVeCud6bsO56obj8nNHX6jOq0YItlL/view?usp=drivesdk,Other
pharmacology,notes,Review of Pharmacology-GRG 14th Ed  (@medflix_2),https://drive.google.com/file/d/1jEOIJwVTXVUC2jRCRnL_S38BEEpSN4i0/view?usp=drivesdk,
microbiology,notes,micro Spotting-1,https://drive.google.com/file/d/1LQrJFV2uKnAxjndYNCvB4lo0yCEyVXPe/view?usp=drivesdk,
microbiology,notes,Micro Charts- Stool Examination-1,https://drive.google.com/file/d/1lN6sA3rUXXh-gdc_eJlgCEc8RZ8SWlwr/view?usp=drivesdk,
,,,https://drive.google.com/drive/folders/1b8pINfZK4mNaBZ3aFMCkIOFHhu0O6vXG?usp=drive_link,
Other,notes,images of all 19 subjects (1) watermark,https://drive.google.com/file/d/138bkmBZCc0CkrHphn43bM0F9w9V7s7LH/view?usp=drivesdk,
PSM,notes,New things in PSM BTR 2.0 …( apart from BTR 1.0),https://drive.google.com/file/d/1yJQ6yu3rLqwbn4CtG8r5Riq978195CO-/view?usp=drivesdk,
PSM,notes,spm programmes,https://drive.google.com/file/d/1dOwe6LhsNPcPpgD1M-WnpBhw61e3Z29b/view?usp=drivesdk,
Pathology,notes,Pathology Bodies (1),https://drive.google.com/file/d/1U6wfGS7GNzh87KisfFT6ngCJP-c81cn0/view?usp=drivesdk,
Gynaecology&Obstetrics,notes,Obstetric timelines,https://drive.google.com/file/d/1qPXfTAEMoECsRXofAeF1JvQUi6Kp6Cs_/view?usp=drivesdk,
Other,notes,BTR 2.0 ,https://drive.google.com/file/d/1JQbvKMU3SrQArmF2DT5GfjBJEzDV2eAT/view?usp=drivesdk,
Other,notes,BTR 2.0  (2),https://drive.google.com/file/d/1E37L7QoO1xr1K2x-tjLL5pywurQaaoPR/view?usp=drivesdk,
Physiology,notes,Physiology Concept Book,https://drive.google.com/file/d/1nkDcQmTQ29lNHWB3wJ3UG9-pOMM4e-ne/view?usp=drivesdk,
Orthopedics,notes,Orthopaedic Concept Book,https://drive.google.com/file/d/1snARkydwsbzlaoUjwNesikHmbbr61eFI/view?usp=drivesdk,
Pharmacology,notes,Pharmacology Concept Book,https://drive.google.com/file/d/16Qc57fBAMJARPbSP46yIIcavq8_UIVaB/view?usp=drivesdk,
Anatomy,notes,Anatomy Concept Book ,https://drive.google.com/file/d/17Ioq9yMBbgIfs-fkCokmInEz2XoE2VA0/view?usp=drivesdk,
Gynaecology&Obstetrics,notes,Obstetrics & Gynaecology Concept Book ,https://drive.google.com/file/d/1Zk9KJuQQD51xbB__9cNTLbpMUIVpKcd7/view?usp=drivesdk,
Dermatology,notes,Dermatology Concept Book,https://drive.google.com/file/d/10IF1pbk32uR7Mv6EV8T0HU5oLInl7kQY/view?usp=drivesdk,
ENT,notes,ENT Concept Book ,https://drive.google.com/file/d/1G6hCWdstKx0XjTo9y2nC2bBJU_v5oWaZ/view?usp=drivesdk,
Anesthesia,notes,Anesthesia Concept Book ,https://drive.google.com/file/d/1W_JnmtOi9_lCJHiddnL99YDlAZ9ZIHsE/view?usp=drivesdk,
Anesthesia,notes,Anesthesia Concept Book  (2),https://drive.google.com/file/d/1hjGlMyvTRidb1LUWAUwIlCXCmLSb0h81/view?usp=drivesdk,
Psychiatry,notes,Psychiatry Concept Book,https://drive.google.com/file/d/1LDCPdsRDWTzT9iT51G493TXeHMiY2f-_/view?usp=drivesdk,
Microbiology,notes,Microbiology Concept Book ,https://drive.google.com/file/d/1wTBe9dZ8vNsMi6omBMW9X9FL91_iJW84/view?usp=drivesdk,
Medicine,notes,Medicine Concept Book,https://drive.google.com/file/d/1k2JAnmGbsaLIL3L3srPOLCKzDyc-XISW/view?usp=drivesdk,
Ophthalmology,notes,Ophthalmology Concept Book,https://drive.google.com/file/d/1AhPIAKOobepPCQBjz90DjSLQb4tQ6gIJ/view?usp=drivesdk,
Radiology,notes,Radiology Concept Workbook ,https://drive.google.com/file/d/1qFAWcAfo4lTkF3R_vP7ZcUW-G50inpSW/view?usp=drivesdk,
,,,https://drive.google.com/drive/folders/1b8pINfZK4mNaBZ3aFMCkIOFHhu0O6vXG?usp=drive_link,
FMT,notes,FMT Concept Book,https://drive.google.com/file/d/1KhxDHPgZZGg-FFYyF640IG96ZD-d0Ea2/view?usp=drivesdk,
PSM,notes,PSM Concept Book,https://drive.google.com/file/d/17eCPAUs4dhEf_A4hRI-H7Dtv4F25W4rT/view?usp=drivesdk,
Anatomy,notes,ANATOMY IMAGES New,https://drive.google.com/file/d/1NT2bLg_YyS5vSZrGr1jbGvBoavwDuqK5/view?usp=drivesdk,
Psychiatry,notes,psychi class images ,https://drive.google.com/file/d/1Wv2TBWycmK78lbFm3nWXoJR9KOifKZxj/view?usp=drivesdk,
Microbiology,notes,Micro class images,https://drive.google.com/file/d/14HqnaYLUpeppmWTsn4xnsSKAVdnK_FGK/view?usp=drivesdk,
Other,notes,optha class images,https://drive.google.com/file/d/1dyiJXWfGVk3pzjT9QBty_puPrd-Vll7_/view?usp=drivesdk,
ENT,notes,ENT Images,https://drive.google.com/file/d/1Ar6vNWDAyeALUXfedQBROZx3NQWVAUr5/view?usp=drivesdk,
Medicine,notes,medicine class images ,https://drive.google.com/file/d/1ZSH18Pl6SKjnM8WAN-Mzc0lb8xGmanCD/view?usp=drivesdk,
Pediatrics,notes,Pediatrics All Syndromes in one,https://drive.google.com/file/d/1ymI8LQu50vEBcMB2ZEIpjtuu274EIOe_/view?usp=drivesdk,
PSM,notes,PSM PROGRAM IMAGES WITH BUZZWORDS,https://drive.google.com/file/d/1WNDSY52dIqW-zAFGQgkKqfpv9JwfCfhk/view?usp=drivesdk,
Other,notes,Antibiotics Mindmap,https://drive.google.com/file/d/19Y2-NYsCK2l4aAZJk1uiFVlhfS31zr3X/view?usp=drivesdk,
FMT,notes,FMT Images (all in one Merged),https://drive.google.com/file/d/1cAAWtsOS-ZQV-0etTSW2-9SRstwDFfut/view?usp=drivesdk,
Gynaecology&Obstetrics,notes,OBG Image Bank Edition 2 0 Updated upto NEET PG 2021,https://drive.google.com/file/d/1ErzlarfbumEp27JgD5iVWphOcd-1iBCu/view?usp=drivesdk,
Orthopedics,notes,Orthopaedics Image Bank Edition 2 0 Updated upto NEET PG 2021,https://drive.google.com/file/d/1KQjMkvbPLoPjL_Y3I3ZjBzgVLVdzq7XY/view?usp=drivesdk,
Medicine,notes,Medicine IBQ,https://drive.google.com/file/d/1tzogOSIke9zKxkedRwSmDsR1fErk50bZ/view?usp=drivesdk,
Paediatric,notes,Paediatric Image Bank,https://drive.google.com/file/d/14Td3rjI1-s_ua_mdYFlZhMja21JMmn7f/view?usp=drivesdk,
Pathology,notes,Pathology Image Bank Edition 2 0 Updated upto NEET PG 2021,https://drive.google.com/file/d/1c6hOz0NXxvx_4bFxhgyhJQyqtzp4DaAg/view?usp=drivesdk,
Surgery,notes,Surgery Image Bank Edition 2 0 Updated upto NEET PG 2021,https://drive.google.com/file/d/16LL5dSMaXkCS7Sp9QMUbIFdBv_rYPkFC/view?usp=drivesdk,
Ophthalmology,notes,Ophthalmology Image Bank Edition 2 0 Updated upto NEET PG 2021,https://drive.google.com/file/d/1TCg2wMSL4hgB4U-FoL6LUPvyGddzCfTA/view?usp=drivesdk,
Pharmacology,notes,Pharmacology Image Bank,https://drive.google.com/file/d/13pORcU64bZv-U0YA1cw5hcCs9XaPDN3q/view?usp=drivesdk,
Psychiatry,notes,Psychiatry Image Bank Edition 2 0 Updated upto NEET PG 2021,https://drive.google.com/file/d/1aJWnRe2PGXa967pfmwP2ezTf--_F8rQJ/view?usp=drivesdk,
Physiology,notes,Physiology Image Bank Edition 2 Updated upto NEET PG 21,https://drive.google.com/file/d/1rF0zfgAY5fD86zIYskZBUUK_A1KB_oey/view?usp=drivesdk,
Radiology,notes,Radiology Image Bank Edition 2 0 Updated upto NEET PG 2021,https://drive.google.com/file/d/1IsCi7JTywQ_tZ6BQYR86k1GuvPtyT-qU/view?usp=drivesdk,
,,,✅ Folder Imported,
PSM,notes,SPM Image Bank,https://drive.google.com/file/d/1nsaEUg2KXPtR3WTAOISDuBeIoLuK3meP/view?usp=drivesdk,
Ophthalmology,notes,Ophthalmology Fast Track TND 2026,https://drive.google.com/file/d/1BV7kM4qvYdRpikxTWasEtDtX-bjSJXW5/view?usp=drivesdk,
ENT,notes,ENT Fast Track TND 2026,https://drive.google.com/file/d/1gRV1VM0pnBgwZoIV6UHDAwSNNnnVXKGG/view?usp=drivesdk,
PSM,notes,PSM Fast Track TND 2026,https://drive.google.com/file/d/1tLiV5BXAqKn-NqZoJf3itTJExPQC1UId/view?usp=drivesdk,
ENT,notes,ENT Fast Track TND 2026,https://drive.google.com/file/d/1HBd_n_JJFiMK1i4kZzmVY0QFEM_JePo5/view?usp=drivesdk,
Microbiology,notes,Microbiology Fast Track TND 2026,https://drive.google.com/file/d/1RI0nzvAEAXiB3DSB5NXppyVcgNB9Q7Ti/view?usp=drivesdk,
Microbiology,notes,Microbiology Fast Track TND 2026,https://drive.google.com/file/d/1a_7VfCCcWtQjm_HIlmisiZtSGd3ej6XS/view?usp=drivesdk,
Ophthalmology,notes,Ophthalmology Fast Track TND 2026,https://drive.google.com/file/d/1hBBkp8gu5D16S0Je1MtqTrVdD4Q_-tXO/view?usp=drivesdk,
ENT,notes,Complete ENT Instruments (1),https://drive.google.com/file/d/1gtrSyGH09hwybcvZoI7bRkPQLI9VB_ii/view?usp=drivesdk,
Surgery,notes,Makhan Lal Saha surgery.pdf,https://drive.google.com/file/d/1hubqDpB97yXoa4O-OtqqaD-UV3BKgCIA/view?usp=drivesdk,
Orthopedics,notes,XRAYS ORTHOPAEDICS,https://drive.google.com/file/d/1CwLHl4t8-6Kmo7iPnocPBo18Ad-B8oVX/view?usp=drivesdk,
Other,notes,general examination,https://drive.google.com/file/d/192Qqf228ddcixKD-QhdrXgt0_AjC0sER/view?usp=drivesdk,
ENT,notes,INSTRUMENTS DRUGS SPECIMENS,https://drive.google.com/file/d/1n0jb5C13JaV0xMhTmQkSElY77T28ao2x/view?usp=drivesdk,
Gynaecology&Obstetrics,notes,Obs case ,https://drive.google.com/file/d/1VZrGqcyQlxoIfW-KuBQV1uPe7C5JUzX_/view?usp=drivesdk,
Gynaecology&Obstetrics,notes,Obgy Instruments 211110 143003 (1),https://drive.google.com/file/d/1VypkvnEHh1kqukv5WWkNaLfctPKPO6c3/view?usp=drivesdk,
Other,notes,Bone;Muscle;Joint,https://drive.google.com/file/d/1vGKxchkqrZ_O_DDsnL6ytVNSIxVVhtdK/view?usp=drivesdk,
Other,notes,NITM Clinical Template Pack 1,https://drive.google.com/file/d/1vcxgAR5ugVeEsKXvQv3Off5QbTc5coVV/view?usp=drivesdk,
Other,notes,2019 IMCI CHART BOOKLET,https://drive.google.com/file/d/1-aPCdKa1-IYyRkz-pcCQunBff6RPkDCs/view?usp=drivesdk,
Other,notes,Protozology In One Page,https://drive.google.com/file/d/1TbXQoCJ7jtMSLoFNlZ7HNwNBrOsUPwdK/view?usp=drivesdk,
Other,notes,Symptom Analysis (Dr. Myint Myint Khin),https://drive.google.com/file/d/1_Bpr1QLPU-g1FRewSTibvRNZ40sRDWAI/view?usp=drivesdk,
Other,notes,Drug Charts,https://drive.google.com/file/d/1kGSvkHBqrIhOKcwlJHrqfYA5kQ3M0H1i/view?usp=drivesdk,
Pathology,notes,breast pathology ,https://drive.google.com/file/d/1-CXN3ntKZw5vBzyUIrq7olTQ1eWEAFYV/view?usp=drivesdk,
Other,notes,Sketchy Virology,https://drive.google.com/file/d/1BW5Kde4aKk2FoZunungBMKHMUnAEEiyj/view?usp=drivesdk,
Other,notes,Synopsis of otolaryngology By Gray Roger F 1946 pdfread.net,https://drive.google.com/file/d/1tvopF37Mu20w6VF9jnPw3SwGeAJs8D4s/view?usp=drivesdk,
Pharmacology,notes,Medicosis  Cardiac Pharmacology Course Outline ,https://drive.google.com/file/d/1L2aZcR8u7QqvQ3sVX8MLkGNDfH-CXkCL/view?usp=drivesdk,
Pathology,notes,Pathology 🔬,https://drive.google.com/file/d/1YdwLucIX-48JSBtdRCT7Ho9Lvt6Y6odO/view?usp=drivesdk,
Microbiology,notes,Microbiology 🧫  (3),https://drive.google.com/file/d/1_HF5NMubhtEyo6YgxDQngmadEXBzbP2r/view?usp=drivesdk,
Microbiology,notes,Microbiology 🧫  (2),https://drive.google.com/file/d/17i0zRXCCopn7jVrhBf_TUqMESmvOD_op/view?usp=drivesdk,
Microbiology,notes,Microbiology 🧫 ,https://drive.google.com/file/d/1SVurgoSMhSk4dLeePfoGWbWGGYGWXQe8/view?usp=drivesdk,
Pharmacology,notes,Pharma In 📦 ,https://drive.google.com/file/d/1PRsgSPPO11NzpeYaEjgIASzvHtUhdy7P/view?usp=drivesdk,
Gynaecology&Obstetrics,notes,OBGY instruments ,https://drive.google.com/file/d/1skn08I3LTgVK3VWRznQYAc5Teijw_47m/view?usp=drivesdk,
ENT,notes,Otorhinolaryngology Instruments,https://drive.google.com/file/d/12Qe73vsO69znf-iuH1abOR22627_WSAm/view?usp=drivesdk,
Orthopedics,notes,Orthopaedics Instruments + Splints + Tractions,https://drive.google.com/file/d/1HLr_VSGaZwnc4LwYfeB0lW1LToyHxbhR/view?usp=drivesdk,
ENT,notes,Surgery Instruments,https://drive.google.com/file/d/1SQoP8kkKzaUdNikQXqQmz2VJ4U4ZMxLY/view?usp=drivesdk,
Orthopedics,notes,bone tumor,https://drive.google.com/file/d/1QXpojkTemPj6wz3Rv01B0MQ-lVZnchnm/view?usp=drivesdk,
ENT,notes,ophthalmology instruments  (1),https://drive.google.com/file/d/13fzhTjPut9MATgrmEgtNUhSZRMMkwi7B/view?usp=drivesdk,
Pathology,notes,patho slides (2),https://drive.google.com/file/d/1EDyCQebayq-Lp3z_uxjx6cd-KKvE-7zC/view?usp=drivesdk,
,,,,
,,,,
Anatomy,quiz,CEREB Anatomy,https://naman679.github.io/mbbs-world/quizzes/CEREB_Anatomy.html,Other
Anaesthesia,quiz,CEREB Anesthesia,https://naman679.github.io/mbbs-world/quizzes/CEREB_Anesthesia.html,Other
Biochemistry,quiz,CEREB Biochemistry,https://naman679.github.io/mbbs-world/quizzes/CEREB_Biochemistry.html,Other
Other,quiz,CEREB BTR,https://naman679.github.io/mbbs-world/quizzes/CEREB_BTR.html,Other
Other,quiz,CEREB BTRs,https://naman679.github.io/mbbs-world/quizzes/CEREB_BTRs.html,Other
